city,x,y
Harare,192, 136
Bulawayo, -62, -114
Gwanda, -18, -198
Bindura, 221, 193
Beitbridge, 81, -335
Marondera, 240, 98
Gweru, 66, -43
Chinhoyi, 104, 185
Mutare, 356, 2
Makoni, 300, 58
Lupane, -173, 31
Kwekwe, 64, 15
Seke, 193, 113
Chiredzi, 247, -215
Kadoma,	72, 79
Chegutu, 101, 101
Makonde, 50, 243
Mutasa, 357, 43
Masvingo, 170, -109
Gutu, 205,-62
Masvingo Province, 206 , -175
Manicaland, 308, -47
Mashonaland East, 295 , 172
Mashonaland Central, 202, 259
Matebeleland North, -197, 9
Matebeleland South, -26, -234
Midlands, -18, 89
